id,name,lat,long,street
1815,Giedroycia ZTPO 01,50.059252777,20.078052222,Giedroycia
1816,Giedroycia 03,50.064445277,20.080900555,Igołomska
1817,Fort Mogiła 03,50.065299166,20.070766944,Ptaszyckiego
1818,Krzesławice Młyn 01,50.079914166,20.056924444,Wańkowicza
1819,PCK 01,50.084342777,20.0542375,Wańkowicza
1820,Krasnowolskiego 01,50.085391944,20.049101944,Wańkowicza
1821,Wańkowicza 06,50.086596388,20.047306944,Wańkowicza
1822,Wyciąska 02,50.077008055,20.156573055,Igołomska
1823,Wyciąże Północ 02,50.077909166,20.164183611,Igołomska
1824,Czeczeńska 02,50.079195833,20.175343611,Igołomska
1825,Cło 02,50.079771944,20.186264722,Brzeska
1826,Szlifierska 02,50.072578611,20.189660833,Brzeska
1827,Zakępie 02,50.067792777,20.189638888,Brzeska
1828,Ks. Luzara 02,50.062563055,20.194728888,Brzeska
1829,Betonowa 02,50.055731666,20.202615277,Brzeska
1830,Poronińska 02,49.986973055,19.916797222,Poronińska
1831,Opatkowice Zadworze 02,49.984902777,19.919500833,Smoleńskiego
1832,Smoleńskiego 02,49.981552777,19.919683888,Smoleńskiego
1833,Opatkowice Zadworze 01,49.985151666,19.919460277,Smoleńskiego
1834,Poronińska 01,49.986941388,19.918246944,Poronińska
1835,Węgrzce Centrum,50.119915833,19.9745825,Węgrzce ul. A4
1836,Węgrzce Błonie,50.125946388,19.974920833,Węgrzce ul. C1
1837,Węgrzce Pętla,50.128736388,19.9747425, 
1838,Kolna 03,50.025316388,19.832631944,Kolna
1839,Tor Kajakowy 02,50.032568611,19.829195555,Kolna
1840,Kolna Kapliczka 02,50.028801388,19.830184166,Kolna
1841,Janasówka 02,49.999570555,19.817811388,Bogucianka
1842,Skawina Podgórki,49.996763055,19.818644166,Skawina ul. Tyniecka
1843,Skawina Tyniecka Rzepnik,49.991254722,19.813415833,Skawina ul. Tyniecka
1844,Skawina Wojska Polskiego,49.9868275,19.814291388,Skawina ul. Wojska Polskiego
1845,Skawina Samborek Most,49.988842222,19.810982222,Skawina ul. Piastowska
